Model,Type,Compare,Loss,MSE,CosineSimilarity,KL(x||y),KL(y||x),JS Divergence,Bhattacharyya,Wasserstein
PCAMLP,path1_combine,full,1251.45849609375,1.2221274375915527,0.5922490358352661,4029.6728515625,5678129.0,2841079.25,3839.737548828125,35.352745056152344
MLP,path1_combine,full,1275.1358642578125,1.24524986743927,0.583827018737793,4065.0908203125,5992030.5,2998047.75,3888.204345703125,35.65355682373047
MiniViT,path2_combine,full,1128.6470947265625,1.1021944284439087,0.6430631279945374,3043.034423828125,3026629.5,1514836.25,,33.57538986206055
MiniUNet,path2_combine,full,1134.8489990234375,1.1082509756088257,0.6405805945396423,2505.318603515625,2068081.375,1035293.375,,33.664798736572266
PCAMLP,path2_combine,full,1256.2279052734375,1.2267850637435913,0.5901122689247131,3772.582763671875,4445695.5,2224734.0,3402.982177734375,35.40857696533203
MLP,path2_combine,full,1161.6234130859375,1.1343978643417358,0.6297321915626526,3720.623046875,4268304.0,2136012.25,,34.063907623291016
MiniViT,path0,full,1136.6456298828125,1.110005497932434,0.6400987505912781,3100.69921875,2893426.0,1448263.375,,33.6958122253418
MiniUNet,path0,full,1177.398193359375,1.1498029232025146,0.6232765316963196,3073.38232421875,3030572.75,1516823.125,2338.82958984375,34.29255676269531
PCAMLP,path0,full,1250.2509765625,1.2209482192993164,0.5937402844429016,3734.5966796875,4263134.0,2133434.25,,35.324188232421875
MLP,path0,full,1172.7718505859375,1.1452851295471191,0.6250849366188049,3726.212890625,4269413.5,2136569.75,3253.09716796875,34.227298736572266
MiniViT,CM,path1_full_for,1421.6055908203125,1.3882867097854614,0.5204401016235352,3740.140625,5098217.5,2550978.75,3109.89111328125,37.65502166748047
MiniViT,CM,path1_full_dec,1316.710693359375,1.2858502864837646,0.5668526887893677,3506.40283203125,4258319.5,2130913.0,3106.211181640625,36.26580810546875
MiniViT,CM,path1_full_inv,159.5773162841797,0.15583722293376923,0.8630831241607666,16566.837890625,586.2900390625,8576.564453125,2637.228515625,12.214654922485352
UNet,CM,path1_full_for,1252.17041015625,1.222822666168213,0.5914133191108704,3726.481689453125,5031862.5,2517794.5,,35.36420822143555
UNet,CM,path1_full_dec,1224.9853515625,1.196274757385254,0.6030939817428589,3693.037109375,4995496.0,2499594.5,3525.002197265625,34.981563568115234
UNet,CM,path1_full_inv,15.68024730682373,0.015312742441892624,0.9884322881698608,72.13543701171875,51.7547607421875,61.945098876953125,,3.8358328342437744
PCA_MLP,CM,path1_full_for,1352.50439453125,1.3208049535751343,0.5592360496520996,4074.872802734375,5971206.0,2987640.5,3534.2666015625,36.653526306152344
